Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
CryptoNight,PoW,6906587610.38292,10000000000,0.44885477539335955,-2.135155654067825,0.46151962803888485,DigitalNote ,0
Shabal256,PoC,1813033920.0,2158812800,0.06896716337247395,-1.2435033012100538,0.010464888544799274,BurstCoin,0
Counterparty,PoS,51173144.0,500000000,-0.3179611673495592,1.4405318307553052,-0.07477945268693265,StorjCoin,1
Scrypt,PoW,68194674.8711679,105120000,-0.16667360310515425,-1.1450939162748257,0.02300894699915625,MonaCoin,0
SHA-256,PoW/PoS,39121694.0,68000000,-0.3111646325061082,0.8278883381165186,-0.3575696894704331,Neutron,1
Groestl,PoW/PoS,53193831.0,0,-0.3635372175477149,0.884853710265051,-0.42190694077219404,FairCoin,1
Scrypt,PoW,415032420.0,1680000000,-0.15126726419967648,-1.1457628022316,0.022823902121242124,Gulden,0
Scrypt,PoS,27184490.3918338,0,-0.28320394037825586,0.7022692037881455,-0.24617429764463486,RubyCoin,1
Scrypt,PoW,137517654.41397,166386000,-0.1653915331725941,-1.1451043878224108,0.022981776712115834,PesetaCoin,0
X13,PoW/PoS,2022464.886973,12000000,-0.2812228655727796,1.7583726353085878,-0.6315031579612657,Kore,1
Scrypt,PoW,181919.2435974,2628000,-0.1682319184828639,-1.145063041539975,0.023037244715058892,Wild Beast Coin,0
Scrypt,PoS,174646113.934655,500000000,-0.2778559729803806,0.7020672442096297,-0.24624640597999098,Dnotes,1
Scrypt,PoW,152270664.860648,160000000,-0.16525639585287655,-1.1450971749439696,0.02297674649341717,Flo,0
Scrypt,PoW/PoS,1467841.0,0,-0.33535113847474024,0.9229772650709767,-0.5453101549746708,8BIT Coin,1
X13,PoW/PoS,7096834.0,10000000,-0.28117499140361435,1.758375020704492,-0.6315048957368576,Sativa Coin,1
Scrypt,PoW,792537250.0,1000000000,-0.15147166293699219,-1.1453271420397564,0.022715187883262048,ArtByte,0
Stanford Folding,PoW,719416990.0,1000000000,-0.12695683995696894,-2.0054837212113403,0.2615755117722034,Folding Coin,0
X11,PoS,2689812.0,20000000,-0.35857521982313334,1.0121520009729132,-0.2422081479148654,Ucoin,1
Multiple,PoW,65113302.0,0,-0.1310633305111153,-1.7354002485606068,0.3607826946320366,Unitus,0
QuBit,PoW,6365285.0,0,-0.17677952983162343,-1.4694553308904157,0.2583371226957908,CypherPunkCoin,0
Scrypt,PoW,10140044.4430293,3371337,-0.16810487366079999,-1.145060629378533,0.023033653705091417,OmniCron,0
Scrypt,PoW/PoS,11604722.0,20000000,-0.3350853894264307,0.9229703671417392,-0.5453145554785631,Vtorrent,1
Scrypt,PoW,4610340640.89,10000000000,-0.040980219336094026,-1.1486383662208135,0.0210010315371311,GreenCoin,0
M7 POW,PoW,708506520.0,1840000000,-0.10197664595269501,-2.184553509320377,0.33718193364412097,Cryptonite,0
Scrypt,PoW,619478.0,619478,-0.16824080692954532,-1.1450619434137632,0.023037165953896866,MasterCoin,0
SHA-256,PoW,12462620.0,21000000,-0.1447075263519014,-1.2401349131052346,0.21078870814788875,SoonCoin,0
Scrypt,PoW,88213.0,92000000000,0.4839735207035739,-1.1897792284499624,0.01947546855065936,1Credit,0
X11,PoW/PoS,1513704.0,0,-0.41056410689501505,1.2328766182973654,-0.5413520095836057,IslaCoin,1
SHA3,PoW/nPoS,63657220.0,78000000,-0.3152688994082926,4.3271204694884,-0.862969724140974,Nexus,1
X11,PoW,32221574.820996,33000000,-0.24283832476147899,-0.8351695402142567,0.026982769358929414,MarsCoin ,0
Lyra2RE,PoW,13742738.0,65789100,-0.16348477822563492,-2.059921156745606,0.4518087571096759,Crypto,0
SHA-256,PoW,14747200.0002,53760000,-0.1444473399980079,-1.2401502001165052,0.2107866225554198,Anarchists Prime,0
QUAIT,PoW/PoS,8568038.35935056,5060000,-0.40670797244519225,1.8320048008788907,-0.7756640282365724,Droidz,1
X11,PoW,15863837.5,21000000,-0.24312343160912223,-0.8351682633471604,0.026989085462403917,BowsCoin,0
X11,PoS/PoW,329200.01639,0,-0.40263490388015205,0.9589807905401294,-0.27240525074729816,Squall Coin,1
Scrypt,PoW,32565300.0,210240000,-0.16636406612359472,-1.1451549340520415,0.02301762250418011,Song Coin,0
Scrypt,PoW,75614500.0,250000000,-0.16555575530299568,-1.1451622700011324,0.023000683535633396,BitZeny,0
Scrypt,PoS,100000000.0,100000000,-0.2816045603205508,0.7022408779419403,-0.2462042169252067,Diggits,1
Ethash,PoW,10495278.0,16906397,-0.14401904789763534,-1.985135074695164,0.3563973486081543,Expanse,0
